# Induced dipole moment in x, y and z direction, all in Rydberg units
# 1 Ry time unit = 2 Hartree a.u. = 0.048377687 fs
# 1 Ry dipole moment unit = sqrt(2) Hartree a.u.
#!BT VERSION                     v2.0.8-274-g813ffda                                         
#!BT DATE                        06-APR-2021_15:53:23_+0200                                  
#!BT SYSID                       [none]                                                      
#!BT NATOMS                      44                                                          
#!BT NTYPES                      4                                                           
#!BT ATOMSPERTYPE                20,2,4,18                                                   
#!BT NELEC                       6.600000E+01,6.600000E+01                                   
#!BT DX                   a0     3.500000E-01                                                
#!BT T_START              t_ry   0.000000E+00                                                
#!BT DT                   t_ry   2.067069E-01                                                
#!BT BOOSTMASK                   global                                                      
#!BT BOOSTENERGY          Ry     1.000000E-07                                                
#!BT BOOSTKVEC                   1.000000E+00,0.000000E+00,0.000000E+00                      
#!BT EXCITATION                  no                                                          
#!BT EXCITMASK                   global                                                      
#!BT NLASER                      0                                                           
#!BT LASERFREQ            Ry                                                                 
#!BT LASERINT             W/cm^2                                                             
#!BT LASEREFIELD          E_ry                                                               
#!BT LASERPOLX                                                                               
#!BT LASERPOLY                                                                               
#!BT LASERPOLZ                                                                               
#!BT LASERSTART           t_ry                                                               
#!BT LASEREND             t_ry                                                               
#!BT OBSERVABLE                  dipole                                                      
#!BT STRIDE                      1                                                           
#!BT MASK                        global1                                                     
#!BT NAREAS                      1                                                           
#!BT AREA                        1                                                           
#!BT SPIN                        tot                                                         
#!BT DIP0                 dip_ry -6.321277E-03,-1.125717E+00,-4.509021E-02                   
#time                 |           x          |           y          |           z          |
 2.604506520203366E+01  9.612275203600869E-05 -1.118993401783008E-05  1.291637415658797E-04
 2.625177206871647E+01  6.864983418356820E-05 -1.627401234816084E-05  6.395486379949522E-05
 2.645847893539927E+01  3.689782569114061E-05 -2.052772235483502E-05 -6.467016851745278E-06
 2.666518580208208E+01  2.228892330241768E-06 -2.323496891443178E-05 -8.124741120638795E-05
 2.687189266876489E+01 -3.433529409609636E-05 -2.391008170943287E-05 -1.587026150070836E-04
 2.707859953544769E+01 -7.206401325208275E-05 -2.203202990935793E-05 -2.364876450938469E-04
 2.728530640213050E+01 -1.096147758915828E-04 -1.810368611732116E-05 -3.124812555769726E-04
 2.749201326881331E+01 -1.449748324583366E-04 -1.368382029443005E-05 -3.838432891461532E-04
 2.769872013549612E+01 -1.772567432762511E-04 -1.020311343613578E-05 -4.471328175090078E-04
 2.790542700217892E+01 -2.069741909869549E-04 -8.049059273318449E-06 -4.999965638322057E-04
 2.811213386886173E+01 -2.346017474130603E-04 -6.685865553857084E-06 -5.411968048616225E-04
 2.831884073554454E+01 -2.593549015764071E-04 -6.092322549555718E-06 -5.697649206917871E-04
 2.852554760222734E+01 -2.796074947988706E-04 -6.658385764302110E-06 -5.856092030146892E-04
 2.873225446891015E+01 -2.942703783065607E-04 -7.939351398311700E-06 -5.903081105402275E-04
 2.893896133559296E+01 -3.031834214412294E-04 -9.356468356758185E-06 -5.863806162723570E-04
 2.914566820227576E+01 -3.071457034151013E-04 -1.090048127005971E-05 -5.759187455339973E-04
 2.935237506895857E+01 -3.075458571207591E-04 -1.289699379025677E-05 -5.600011614282016E-04
 2.955908193564138E+01 -3.032818462553582E-04 -1.549186269200753E-05 -5.395688570324630E-04
 2.976578880232418E+01 -2.914492997593016E-04 -1.786512250068206E-05 -5.155891408644003E-04
 2.997249566900699E+01 -2.727129299394115E-04 -1.855897801039674E-05 -4.885405438640328E-04
 3.017920253568980E+01 -2.508793140728683E-04 -1.678716948694259E-05 -4.583528779949844E-04
 3.038590940237260E+01 -2.280749463305339E-04 -1.308697640833856E-05 -4.239211109460517E-04
 3.059261626905541E+01 -2.034286469772455E-04 -8.491975805213769E-06 -3.834236544652050E-04
 3.079932313573822E+01 -1.763760572199976E-04 -4.176220047558132E-06 -3.354685007387267E-04
 3.100603000242102E+01 -1.497260921253154E-04 -1.598131237123823E-06 -2.797232142709230E-04
 3.121273686910383E+01 -1.285854021541698E-04 -1.130182152309089E-06 -2.178289926508259E-04
 3.141944373578664E+01 -1.163684936705709E-04 -2.093291369797967E-06 -1.531703565707254E-04
 3.162615060246944E+01 -1.122124749877535E-04 -3.848588049359947E-06 -8.886299772895706E-05
 3.183285746915225E+01 -1.128753032361178E-04 -5.889413792870002E-06 -2.700491460500692E-05
 3.203956433583506E+01 -1.159452775441952E-04 -7.991900094594939E-06  2.970687369490549E-05
 3.224627120251787E+01 -1.194234607770819E-04 -9.497610509834331E-06  7.753868251576812E-05
 3.245297806920068E+01 -1.221141088159194E-04 -8.862934558040436E-06  1.136583043811340E-04
 3.265968493588348E+01 -1.253960951365530E-04 -5.431847476922158E-06  1.374815678430591E-04
 3.286639180256628E+01 -1.304413583081525E-04 -6.675488550822450E-07  1.508632797437431E-04
 3.307309866924909E+01 -1.363127590956522E-04  2.921169209635366E-06  1.573712213263911E-04
 3.327980553593190E+01 -1.431203835456042E-04  4.056774590699419E-06  1.599043179995249E-04
 3.348651240261471E+01 -1.521882151701657E-04  3.176112095992778E-06  1.596721846485322E-04
 3.369321926929751E+01 -1.631530917133887E-04  9.597978547493113E-07  1.575665869577234E-04
 3.389992613598032E+01 -1.734088346717561E-04 -1.683060669721570E-06  1.543668969523765E-04
 3.410663300266313E+01 -1.793203432197982E-04 -3.103241127400125E-06  1.511617114157843E-04
 3.431333986934593E+01 -1.780923151641156E-04 -2.597226895773019E-06  1.500194448992159E-04
 3.452004673602874E+01 -1.696398418364461E-04 -1.368273065516235E-06  1.521268198018053E-04
 3.472675360271155E+01 -1.562242084736766E-04 -6.038310655931411E-07  1.570297461331790E-04
 3.493346046939435E+01 -1.394854989778069E-04 -6.959350518087604E-08  1.642246424675142E-04
 3.514016733607716E+01 -1.193800537014804E-04  1.074353006336182E-06  1.739466397634240E-04
 3.534687420275997E+01 -9.593735937690490E-05  3.034637299892395E-06  1.864085955146505E-04
 3.555358106944278E+01 -6.974807396896519E-05  5.638827352383302E-06  2.006442731997266E-04
 3.576028793612558E+01 -4.169458596680817E-05  9.151151796338297E-06  2.148697871326710E-04
 3.596699480280839E+01 -1.376355707686117E-05  1.345380811024199E-05  2.275876673361529E-04
 3.617370166949119E+01  1.257428149712379E-05  1.761113466347553E-05  2.370127697323143E-04
 3.638040853617400E+01  3.895554046463075E-05  2.113564988248662E-05  2.413019604851768E-04
 3.658711540285681E+01  6.686917474330988E-05  2.389307561512233E-05  2.393270690637106E-04
 3.679382226953962E+01  9.414219520397730E-05  2.494664121477363E-05  2.302526105463637E-04
 3.700052913622243E+01  1.177271614059994E-04  2.305338979602389E-05  2.142464962903989E-04
 3.720723600290523E+01  1.359317488400799E-04  1.831901801119251E-05  1.923327914919518E-04
