# Induced dipole moment in x, y and z direction, all in Rydberg units
# 1 Ry time unit = 2 Hartree a.u. = 0.048377687 fs
# 1 Ry dipole moment unit = sqrt(2) Hartree a.u.
#!BT VERSION                     v3.0.3                                                      
#!BT DATE                        29-JUN-2022_10:49:34_+0200                                  
#!BT SYSID                       "B302_HIS_CH3"                                              
#!BT NATOMS                      97                                                          
#!BT NTYPES                      5                                                           
#!BT ATOMSPERTYPE                40,44,6,6,1                                                 
#!BT NELEC                       1.360000E+02,1.360000E+02                                   
#!BT DX                   a0     3.000000E-01                                                
#!BT T_START              t_ry   0.000000E+00                                                
#!BT DT                   t_ry   4.134137E-01                                                
#!BT BOOSTMASK                   global                                                      
#!BT BOOSTENERGY          Ry     1.000000E-03                                                
#!BT BOOSTKVEC                   7.071068E-01,0.000000E+00,7.071068E-01                      
#!BT EXCITATION                  no                                                          
#!BT EXCITMASK                   global                                                      
#!BT NLASER                      0                                                           
#!BT LASERFREQ            Ry                                                                 
#!BT LASERINT             W/cm^2                                                             
#!BT LASEREFIELD          E_ry                                                               
#!BT LASERPOLX                                                                               
#!BT LASERPOLY                                                                               
#!BT LASERPOLZ                                                                               
#!BT LASERSTART           t_ry                                                               
#!BT LASEREND             t_ry                                                               
#!BT OBSERVABLE                  dipole                                                      
#!BT STRIDE                      1                                                           
#!BT MASK                        global1                                                     
#!BT NAREAS                      1                                                           
#!BT AREA                        1                                                           
#!BT SPIN                        tot                                                         
#!BT DIP0                 dip_ry 2.482709E+02,3.177657E+02,7.468487E+02                      
#time                 |           x          |           y          |           z          |
 7.028033467215432E+00 -3.579918031067564E-02  1.759747464637940E-02 -7.674241581855767E-02
 7.441447200581046E+00 -3.301574551002773E-02  1.576074536399119E-02 -7.270978898782232E-02
 7.854860933946659E+00 -2.611702134569782E-02  1.386142685896630E-02 -6.188828656206624E-02
 8.268274667312273E+00 -1.648978547800084E-02  1.279270560803525E-02 -4.572705746613792E-02
 8.681688400677887E+00 -6.177008363579262E-03  1.244537578588734E-02 -2.627558800668339E-02
 9.095102134043501E+00  8.554952100041646E-04  1.222142949319505E-02 -8.262975488264601E-03
 9.508515867409114E+00  1.928827179312975E-03  1.189808220539135E-02  3.461224746956759E-03
 9.921929600774728E+00 -2.871535508035095E-03  1.138418857334500E-02  6.630215833752118E-03
 1.033534333414034E+01 -1.048692125101525E-02  1.057599993191616E-02  2.687655857016580E-03
 1.074875706750596E+01 -1.696955347040330E-02  1.013661059499782E-02 -4.632403523373796E-03
 1.116217080087157E+01 -1.962015028215092E-02  1.054732229022193E-02 -1.153792979846457E-02
 1.157558453423718E+01 -1.799149928700672E-02  1.119348234277595E-02 -1.462812287059023E-02
 1.198899826760280E+01 -1.299595121881225E-02  1.137725489678587E-02 -1.124665890074539E-02
 1.240241200096841E+01 -7.111535159509685E-03  1.070672258435934E-02 -2.853896612805329E-03
 1.281582573433402E+01 -2.076113898141330E-03  9.268929598590603E-03  7.654775620380860E-03
 1.322923946769964E+01  1.729771074110431E-03  7.440107817217267E-03  1.837558771762815E-02
 1.364265320106525E+01  3.401189112878455E-03  5.562803943462313E-03  2.697018104299787E-02
 1.405606693443086E+01  3.076352728726306E-03  3.892386962661476E-03  3.288013292706182E-02
 1.446948066779648E+01  1.809290621281434E-03  2.437653996935296E-03  3.651491278878893E-02
 1.488289440116209E+01  6.142366589187986E-04  1.313484285446975E-03  3.835473946185175E-02
 1.529630813452771E+01  3.549645451528249E-04  3.997569355647101E-04  3.929241871742306E-02
 1.570972186789332E+01  1.150854280638214E-03 -4.204152599527333E-04  3.949930862268047E-02
 1.612313560125893E+01  2.713544849257232E-03 -6.279038191223663E-04  3.932926301092721E-02
 1.653654933462455E+01  3.978054745005011E-03 -4.909574806788441E-05  3.894845343779707E-02
 1.694996306799016E+01  4.544972839113370E-03  1.350973237663311E-03  3.779076984380936E-02
 1.736337680135577E+01  5.423062412319268E-03  3.209249237727363E-03  3.641297273122746E-02
 1.777679053472139E+01  6.685832150793658E-03  4.574699053080167E-03  3.491868413402699E-02
 1.819020426808700E+01  7.472508560738333E-03  4.760117164551048E-03  3.324530329200570E-02
 1.860361800145261E+01  7.602577566501623E-03  3.700520095719639E-03  3.218651806071193E-02
 1.901703173481823E+01  7.707376931080034E-03  1.614345359030267E-03  3.189087887585629E-02
 1.943044546818384E+01  8.200910707330422E-03 -1.552859442654153E-03  3.171161385148480E-02
 1.984385920154946E+01  9.084610905404134E-03 -5.125201138810098E-03  3.093775425008971E-02
 2.025727293491507E+01  1.015081939755191E-02 -8.113233947312892E-03  2.885834259802778E-02
 2.067068666828068E+01  1.077798469506774E-02 -1.001170175123889E-02  2.541572179779905E-02
 2.108410040164630E+01  1.043857479322696E-02 -1.069198228259438E-02  2.095755089476370E-02
 2.149751413501191E+01  8.712567810391647E-03 -1.071157303442760E-02  1.557101175524167E-02
 2.191092786837752E+01  5.347225774272601E-03 -1.016950644481085E-02  9.469223929386317E-03
 2.232434160174314E+01  1.008923057298716E-03 -8.673039879852240E-03  3.001392708711137E-03
 2.273775533510875E+01 -3.260432914061084E-03 -6.155596620658343E-03 -3.090852328227811E-03
 2.315116906847436E+01 -6.806350589698695E-03 -2.809768868303308E-03 -8.133105806564345E-03
 2.356458280183998E+01 -8.910963949062989E-03  1.213551854903017E-03 -1.180829206953149E-02
 2.397799653520559E+01 -9.044954735088595E-03  5.458259086594808E-03 -1.419443642180340E-02
 2.439141026857121E+01 -7.875706706357732E-03  8.998664820637714E-03 -1.563136898982975E-02
 2.480482400193682E+01 -6.288878123427821E-03  1.103903844693832E-02 -1.649865534295714E-02
 2.521823773530243E+01 -4.566854198515102E-03  1.155598019545323E-02 -1.695624765147841E-02
 2.563165146866805E+01 -2.596437475119728E-03  1.082561919292857E-02 -1.687729222271628E-02
 2.604506520203366E+01 -5.879241605839525E-04  8.986292929591855E-03 -1.657506413596366E-02
 2.645847893539927E+01  5.416168085616846E-04  6.387842833305513E-03 -1.721217596843871E-02
 2.687189266876489E+01  4.617765748662350E-04  3.594771656480589E-03 -1.903903304537380E-02
 2.728530640213050E+01 -4.104692822295419E-04  1.565698150727712E-03 -2.108212606549387E-02
